store,title,shortTitle,code,short_desc,description,expiry_date
MakeMyTrip,Get Upto Rs 2500 OFF on Domestic Flights,Rs.2500 OFF,BESTBUY,[],['Make My Trip offers up to Rs 2500 discount on Domestic Flights'],"Valid till 30th Apr, 21"
MakeMyTrip,Domestic Flights - Grab ₹1000 OFF + Extra ₹800 SuperCash,Rs.1000 OFF,MMTFLIGHT,"[None, 'Promo Code Valid For\tDomestic Flights', 'Mobikwik Wallet\tUp to Rs 800 SuperCash', 'Applicable For\tBoth New & Existing Users']","['Grab Up to 6% OFF on flights.', 'Get 10% SuperCash, Maximum SuperCash that can be availed is Rs 800']","Valid till 30th Apr, 21"
MakeMyTrip,New User Offer - Upto Rs 1500 OFF On First Flight Booking,Rs.1500 OFF,FIRSTFLIGHT,[],['Get up to Rs 1500 off on first time flight booking.'],
MakeMyTrip,Domestic Flights - Rs 800 OFF,Rs.800 OFF,FLTGB,[],"['Up to Rs 800 OFF on domestic flight tickets.', 'This mmt coupon code is Verified on 18 Apr 2021.']","Valid till 30th Apr, 21"
MakeMyTrip,Flat 10% OFF on Domestic Flights (Expiring Soon),10% OFF,BOOKTODAY,[],[],
MakeMyTrip,Get Up To Rs 1200 OFF On First Flight Booking,Rs.1200 OFF,NEWUSERSPECIAL,[],[],
MakeMyTrip,Flight Ticket Offer - Up To Rs 1000 OFF On Domestic Routes,Rs.1000 OFF,MMTSPECIAL,[],[],
MakeMyTrip,Domestic Flight Tickets - Get Up To Rs 1000 OFF,Rs.1000 OFF,FLYSALE,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Flight Tickets - Get Up To Rs 1250 OFF,Rs.1250 OFF,FLYMMT,[],[],
MakeMyTrip,Long Weekend Special: Grab Rs 1200 OFF,Rs.1200 OFF,LONGWEEKEND,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Up To Rs 1000 OFF On Domestic Flights,Rs.1000 OFF,FLIGHTSALE,[],['Get up to Rs 1000 off on domestic flight tickets.'],
MakeMyTrip,Domestic Flight Tickets - Get Flat Rs 300 OFF,Rs.300 OFF,FLYMMT300,[],['Get flat Rs 300 instant off on domestic flight tickets.'],
MakeMyTrip,Grab Rs 1500 Off on Select Indigo Flights,Rs.1500 OFF,MMTTRAVEL,[],[],"Valid till 30th Apr, 21"
MakeMyTrip,Flight Offer - Book 3 Tickets & Get Flat Rs 500 OFF,Rs.500 OFF,MMTFLAT500,[],['Get flat Rs. 500 instant off on domestic flight tickets.'],
MakeMyTrip,Get Upto Rs 1200 OFF on Domestic Flights,Rs.1200 OFF,MMTUPI,[],['Grab up to Rs 1200 OFF on domestic flights using UPI payments.'],"Valid till 31st May, 21"
